Algorithm,Size,Time(seconds)
counting,5100,0.000022
radix,5100,0.000092
bucket,5100,0.000372
pigeonhole,5100,0.000055
bitonic,5100,0.000986
stooge,5100,8.505201
oddeven,5100,0.009795
strand,5100,0.001674
intro,5100,0.000210
bubble,5200,0.045424
selection,5200,0.025883
insertion,5200,0.003182
shell,5200,0.000490
heap,5200,0.000378
merge,5200,0.000420
quick,5200,0.000247
comb,5200,0.000337
cocktail,5200,0.045362
cycle,5200,0.021610
gnome,5200,0.041909
tim,5200,0.000249
counting,5200,0.000029
radix,5200,0.000099
bucket,5200,0.000460
pigeonhole,5200,0.000054
bitonic,5200,0.000886
stooge,5200,8.528329
oddeven,5200,0.009942
strand,5200,0.002030
intro,5200,0.000212
bubble,5300,0.045846
selection,5300,0.027248
insertion,5300,0.003438
shell,5300,0.000431
heap,5300,0.000482
merge,5300,0.000402
quick,5300,0.000225
comb,5300,0.000304
cocktail,5300,0.048524
cycle,5300,0.021247
gnome,5300,0.044232
tim,5300,0.000242
counting,5300,0.000031
radix,5300,0.000169
bucket,5300,0.000406
pigeonhole,5300,0.000061
bitonic,5300,0.000960
stooge,5300,9.154723
oddeven,5300,0.010054
strand,5300,0.001798
intro,5300,0.000224
bubble,5400,0.048057
selection,5400,0.028402
insertion,5400,0.002606
shell,5400,0.000426
heap,5400,0.000355
merge,5400,0.000396
quick,5400,0.000248
comb,5400,0.000319
cocktail,5400,0.048780
cycle,5400,0.019521
gnome,5400,0.046203
tim,5400,0.000284
counting,5400,0.000028
radix,5400,0.000127
bucket,5400,0.000510
pigeonhole,5400,0.000062
bitonic,5400,0.000915
stooge,5400,26.099553
oddeven,5400,0.011648
strand,5400,0.002314
intro,5400,0.000268
bubble,5500,0.046639
selection,5500,0.030387
insertion,5500,0.002905
shell,5500,0.000432
heap,5500,0.000587
merge,5500,0.000436
quick,5500,0.000262
comb,5500,0.000334
cocktail,5500,0.064953
cycle,5500,0.028790
gnome,5500,0.063422
tim,5500,0.000497
counting,5500,0.000030
radix,5500,0.000109
bucket,5500,0.000742
pigeonhole,5500,0.000061
bitonic,5500,0.000999
stooge,5500,28.832265
oddeven,5500,0.011216
strand,5500,0.001892
intro,5500,0.000228
bubble,5600,0.048539
selection,5600,0.031244
insertion,5600,0.003199
shell,5600,0.000485
heap,5600,0.000422
merge,5600,0.000686
quick,5600,0.000363
comb,5600,0.000374
cocktail,5600,0.053988
cycle,5600,0.021301
gnome,5600,0.048948
tim,5600,0.000276
counting,5600,0.000032
radix,5600,0.000117
bucket,5600,0.000525
pigeonhole,5600,0.000063
bitonic,5600,0.001005
stooge,5600,26.491082
oddeven,5600,0.012019
strand,5600,0.001958
intro,5600,0.000242
bubble,5700,0.065674
selection,5700,0.033058
insertion,5700,0.002937
shell,5700,0.000450
heap,5700,0.000388
merge,5700,0.000447
quick,5700,0.000269
comb,5700,0.000376
cocktail,5700,0.061204
cycle,5700,0.022383
gnome,5700,0.050609
tim,5700,0.000244
counting,5700,0.000146
radix,5700,0.000169
bucket,5700,0.000530
pigeonhole,5700,0.000053
bitonic,5700,0.001011
stooge,5700,27.921678
oddeven,5700,0.011807
strand,5700,0.002016
intro,5700,0.000256
bubble,5800,0.052723
selection,5800,0.033307
insertion,5800,0.003149
shell,5800,0.000417
heap,5800,0.000386
merge,5800,0.000448
quick,5800,0.000339
comb,5800,0.000404
cocktail,5800,0.055099
cycle,5800,0.025593
gnome,5800,0.053375
tim,5800,0.000243
counting,5800,0.000032
radix,5800,0.000205
bucket,5800,0.000486
pigeonhole,5800,0.000067
bitonic,5800,0.001033
stooge,5800,28.713282
oddeven,5800,0.016274
strand,5800,0.002933
intro,5800,0.000246
bubble,5900,0.063326
selection,5900,0.040438
insertion,5900,0.003623
shell,5900,0.000476
heap,5900,0.000488
merge,5900,0.000623
quick,5900,0.000452
comb,5900,0.000543
cocktail,5900,0.065004
cycle,5900,0.029718
gnome,5900,0.064280
tim,5900,0.000447
counting,5900,0.000074
radix,5900,0.000162
bucket,5900,0.000593
pigeonhole,5900,0.000064
bitonic,5900,0.001101
stooge,5900,28.629489
oddeven,5900,0.012978
